DataVersion,Model,Precision,Recall,F1-Score,ROC-AUC
v1.0,LogisticRegression,0.85,0.86,0.8,0.5
v1.0,LinearSVC,0.74,0.86,0.79,0.5
v1.0,KNeighborsClassifier,0.8,0.84,0.81,0.55
v1.0,RandomForestClassifier,0.82,0.86,0.83,0.57
v1.0,GaussianNB,0.8,0.74,0.76,0.6
v1.1,LogisticRegression,0.83,0.85,0.79,0.5
v1.1,LinearSVC,0.73,0.85,0.79,0.5
v1.1,KNeighborsClassifier,0.78,0.84,0.8,0.54
v1.1,RandomForestClassifier,0.81,0.85,0.82,0.57
v1.1,GaussianNB,0.79,0.72,0.75,0.59
v1.2,LogisticRegression,0.83,0.86,0.8,0.5
v1.2,LinearSVC,0.74,0.86,0.8,0.5
v1.2,KNeighborsClassifier,0.8,0.84,0.81,0.55
v1.2,RandomForestClassifier,0.82,0.86,0.83,0.56
v1.2,GaussianNB,0.8,0.73,0.75,0.59
v1.3,LogisticRegression,0.82,0.85,0.79,0.5
v1.3,LinearSVC,0.73,0.85,0.79,0.5
v1.3,KNeighborsClassifier,0.8,0.84,0.81,0.54
v1.3,RandomForestClassifier,0.83,0.86,0.83,0.58
v1.3,GaussianNB,0.79,0.74,0.76,0.6
v1.4,LogisticRegression,0.72,0.85,0.78,0.5
v1.4,LinearSVC,0.72,0.85,0.78,0.5
v1.4,KNeighborsClassifier,0.78,0.83,0.8,0.54
v1.4,RandomForestClassifier,0.81,0.85,0.82,0.57
v1.4,GaussianNB,0.79,0.75,0.76,0.6
v1.5,LogisticRegression,0.83,0.86,0.8,0.5
v1.5,LinearSVC,0.74,0.86,0.8,0.5
v1.5,KNeighborsClassifier,0.8,0.85,0.81,0.54
v1.5,RandomForestClassifier,0.83,0.86,0.83,0.57
v1.5,GaussianNB,0.79,0.73,0.76,0.58
v1.6,LogisticRegression,0.88,0.86,0.8,0.5
v1.6,LinearSVC,0.74,0.86,0.8,0.5
v1.6,KNeighborsClassifier,0.81,0.85,0.82,0.55
v1.6,RandomForestClassifier,0.84,0.87,0.84,0.59
v1.6,GaussianNB,0.8,0.75,0.77,0.6
